student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,grade_change,grade_improved
1,Male,4.0,98.0,6.5,Bachelors,Yes,Yes,No,76.9,100.0,A,23.1,True
2,Female,6.3,100.0,5.7,High School,Yes,Yes,Yes,75.5,100.0,A,24.5,True
3,Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5,97.3,A,8.8,True
4,Male,2.6,77.5,8.0,,Yes,Yes,No,85.1,83.8,B,-1.3,False
5,Male,2.2,89.6,4.6,Bachelors,Yes,No,Yes,61.8,68.3,D,6.5,True
6,Female,4.2,78.2,5.7,High School,Yes,No,No,79.8,81.6,B,1.8,True
7,Male,1.5,100.0,5.0,High School,Yes,Yes,Yes,58.6,69.6,D,11.0,True
8,Male,6.2,86.4,6.0,High School,Yes,Yes,No,78.4,88.0,B,9.6,True
9,Male,5.3,81.3,6.7,Bachelors,Yes,No,No,63.8,84.4,B,20.6,True
10,Female,2.8,86.8,5.1,Bachelors,Yes,Yes,No,57.7,74.3,C,16.6,True
11,Male,0.9,71.5,5.7,High School,Yes,No,Yes,73.4,68.9,D,-4.5,False
12,Male,5.5,75.3,5.6,,Yes,Yes,No,37.9,76.7,C,38.8,True
13,Male,3.3,97.0,7.0,Masters,Yes,Yes,Yes,49.0,82.6,B,33.6,True
14,Male,5.4,78.4,6.9,Bachelors,No,No,No,67.9,93.3,A,25.4,True
15,Female,1.1,74.5,5.9,Masters,Yes,Yes,Yes,71.0,73.9,C,2.9,True
16,Male,2.6,90.4,7.0,High School,Yes,Yes,No,65.6,84.8,B,19.2,True
17,Female,3.5,96.9,6.1,Bachelors,Yes,Yes,No,51.0,81.5,B,30.5,True
18,Female,3.6,92.2,6.5,Bachelors,Yes,Yes,Yes,60.2,75.5,C,15.3,True
19,Female,2.8,95.0,8.8,Masters,No,Yes,No,74.7,89.7,B,15.0,True
20,Male,4.4,77.4,8.4,Masters,No,No,Yes,77.0,92.8,A,15.8,True
21,Female,1.9,70.8,5.2,High School,Yes,Yes,No,69.8,73.5,C,3.7,True
22,Male,3.3,100.0,7.8,,Yes,Yes,No,83.9,100.0,A,16.1,True
23,Female,3.7,81.8,7.8,High School,No,No,No,74.8,73.4,C,-1.4,False
24,Female,4.3,82.5,5.4,PhD,No,Yes,No,61.0,71.2,C,10.2,True
25,Female,4.6,98.3,7.8,,Yes,Yes,Yes,66.6,97.2,A,30.6,True
26,Female,1.8,90.6,8.6,High School,Yes,No,No,53.2,76.0,C,22.8,True
27,Female,1.2,89.6,5.5,Masters,Yes,No,Yes,68.7,78.7,C,10.0,True
28,Female,5.4,100.0,5.7,High School,No,No,No,83.3,97.4,A,14.1,True
29,Female,4.0,78.6,8.0,Bachelors,Yes,No,No,78.2,84.2,B,6.0,True
30,Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8,89.8,B,3.0,True
31,Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4,B,16.0,True
32,Male,3.7,87.7,7.2,,Yes,Yes,No,86.2,87.7,B,1.5,True
33,Female,5.3,100.0,7.3,Masters,Yes,Yes,No,67.7,100.0,A,32.3,True
34,Female,3.6,90.1,5.2,Bachelors,No,Yes,No,87.7,93.3,A,5.6,True
35,Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100.0,A,30.3,True
36,Male,6.1,95.7,8.2,,Yes,Yes,Yes,78.5,92.9,A,14.4,True
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B,-4.5,False
38,Male,5.0,76.6,6.7,,Yes,Yes,No,67.7,81.1,B,13.4,True
39,Male,4.5,74.6,5.0,High School,Yes,Yes,Yes,72.6,89.5,B,16.9,True
40,Male,5.6,65.3,7.4,Masters,Yes,Yes,No,85.5,91.6,A,6.1,True
41,Male,2.1,100.0,7.5,High School,Yes,Yes,Yes,68.4,75.3,C,6.9,True
42,Male,4.5,74.0,6.7,High School,Yes,No,No,54.1,79.0,C,24.9,True
43,Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7,100.0,A,4.3,True
44,Female,0.9,82.2,6.4,Bachelors,Yes,Yes,No,64.4,79.2,C,14.8,True
45,Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9,70.8,C,-1.1,False
46,Female,0.5,93.2,5.6,High School,No,No,Yes,83.9,61.8,D,-22.1,False
47,Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7,68.0,D,5.3,True
48,Male,4.6,79.2,6.6,,Yes,Yes,Yes,57.9,80.3,B,22.4,True
49,Female,5.8,83.3,7.1,Bachelors,No,Yes,No,73.0,88.6,B,15.6,True
50,Female,3.6,87.8,6.4,High School,Yes,Yes,No,48.5,69.4,D,20.9,True
51,Male,5.9,82.5,6.6,Bachelors,Yes,Yes,No,66.5,100.0,A,33.5,True
